1password	ii 	8.12.30
libimath-3-1-29t64:amd64	ii 	3.1.12-1+b3
libime-bin	ii 	1.1.10+dict20250327-1
libime-data	ii 	1.1.10+dict20250327-1
libime-data-language-model:amd64	ii 	1.1.10+dict20250327-1
libimecore0:amd64	ii 	1.1.10+dict20250327-1
libimepinyin0:amd64	ii 	1.1.10+dict20250327-1
libimetable0:amd64	ii 	1.1.10+dict20250327-1
libimobiledevice-1.0-6:amd64	ii 	1.3.0+git20250228-2
libimobiledevice-glue-1.0-0	ii 	1.3.1-1
libindi-data	ii 	1.9.9+dfsg-3
libindidriver1:amd64	ii 	1.9.9+dfsg-3+b5
libinih1:amd64	ii 	59-1
libinput-bin	ii 	1.28.1-1+deb13u1
libinput10:amd64	ii 	1.28.1-1+deb13u1
libinstpatch-1.0-2:amd64	ii 	1.1.6-1+b2
libio-compress-brotli-perl	ii 	0.004001-2+b3
libio-html-perl	ii 	1.004-3
libio-socket-ssl-perl	ii 	2.089-1
libio-stringy-perl	ii 	2.113-2
libipc-system-simple-perl	ii 	1.30-2
libiperf0:amd64	ii 	3.18-2+deb13u2
libisl23:amd64	ii 	0.27-1
libisofs6t64:amd64	ii 	1.5.6.pl01-1.1+b1
libitm1:amd64	ii 	14.2.0-19
libiw30t64:amd64	ii 	30~pre9-18+b1
libixml11t64:amd64	ii 	1:1.14.20-1+deb13u1
libjack-jackd2-0:amd64	ii 	1.9.22~dfsg-4
libjack-jackd2-0:i386	ii 	1.9.22~dfsg-4
libjansson4:amd64	ii 	2.14-2+b3
libjavascriptcoregtk-4.1-0:amd64	ii 	2.52.5-1~deb13u1
libjaylink0:amd64	ii 	0.4.0-1
libjbig0:amd64	ii 	2.1-6.1+b2
libjbig0:i386	ii 	2.1-6.1+b2
libjbig2dec0:amd64	ii 	0.20-1+b3
libjcat1:amd64	ii 	0.2.3-1
libjemalloc2:amd64	ii 	5.3.0-3
libjim0.83:amd64	ii 	0.83-2
libjpeg62-turbo:amd64	ii 	1:2.1.5-4
libjpeg62-turbo:i386	ii 	1:2.1.5-4
libjq1:amd64	ii 	1.7.1-6+deb13u2
libjs-jquery	ii 	3.6.1+dfsg+~3.5.14-1
libjs-mathjax	ii 	2.7.9+dfsg-1
libjs-sphinxdoc	ii 	8.1.3-5
libjs-underscore	ii 	1.13.4~dfsg+~1.11.4-3
libjson-c5:amd64	ii 	0.18+ds-1
libjson-glib-1.0-0:amd64	ii 	1.10.6+ds-2
libjson-glib-1.0-common	ii 	1.10.6+ds-2
libjte2:amd64	ii 	1.22-4+b2
libjxl0.11:amd64	ii 	0.11.2-0.1~deb13u2
libjxl0.11:i386	ii 	0.11.2-0.1~deb13u2
libjxr-tools	ii 	1.2~git20170615.f752187-5.3
libjxr0t64:amd64	ii 	1.2~git20170615.f752187-5.3
libk5crypto3:amd64	ii 	1.21.3-5+deb13u1
libk5crypto3:i386	ii 	1.21.3-5+deb13u1
libkate1:amd64	ii 	0.4.3-1
libkeybinder-3.0-0:amd64	ii 	0.3.2-1.1+b3
libkeyutils1:amd64	ii 	1.6.3-6
libkeyutils1:i386	ii 	1.6.3-6
libkf6dbusaddons-bin	ii 	6.13.0-1
libkf6dbusaddons-data	ii 	6.13.0-1
libkf6dbusaddons6:amd64	ii 	6.13.0-1
libkf6itemviews-data	ii 	6.13.0-1
libkf6itemviews6:amd64	ii 	6.13.0-1
libkf6widgetsaddons-data	ii 	6.13.0-1
libkf6widgetsaddons6:amd64	ii 	6.13.0-1
libkf6windowsystem-data	ii 	6.13.0-2
libkf6windowsystem6:amd64	ii 	6.13.0-2
libklibc:amd64	ii 	2.0.14-1
libkmlbase1t64:amd64	ii 	1.3.0-12+b2
libkmldom1t64:amd64	ii 	1.3.0-12+b2
libkmlengine1t64:amd64	ii 	1.3.0-12+b2
libkmod2:amd64	ii 	34.2-2
libkpathsea6:amd64	ii 	2024.20240313.70630+ds-6
libkrb5-3:amd64	ii 	1.21.3-5+deb13u1
libkrb5-3:i386	ii 	1.21.3-5+deb13u1
libkrb5support0:amd64	ii 	1.21.3-5+deb13u1
libkrb5support0:i386	ii 	1.21.3-5+deb13u1
libksba8:amd64	ii 	1.6.7-2+b1
liblangtag-common	ii 	0.6.7-1
liblangtag1:amd64	ii 	0.6.7-1+b2
liblapack3:amd64	ii 	3.12.1-6
liblastlog2-2:amd64	ii 	2.41-5
liblc3-1:amd64	ii 	1.1.3+dfsg-1
liblcms2-2:amd64	ii 	2.16-2+deb13u2
liblcms2-2:i386	ii 	2.16-2+deb13u2
libldacbt-enc2:amd64	ii 	2.0.2.3+git20200429+ed310a0-5
libldap-common	ii 	2.6.10+dfsg-1
libldap2:amd64	ii 	2.6.10+dfsg-1
libldb2:amd64	ii 	2:2.11.0+samba4.22.10+dfsg-0+deb13u2
liblerc4:amd64	ii 	4.0.0+ds-5
liblerc4:i386	ii 	4.0.0+ds-5
liblightdm-gobject-1-0:amd64	ii 	1.32.0-6+b2
liblilv-0-0:amd64	ii 	0.24.26-1
liblinear4:amd64	ii 	2.3.0+dfsg-5+b2
liblirc-client0t64:amd64	ii 	0.10.2-0.10
libllvm19:amd64	ii 	1:19.1.7-3+b1
libllvm19:i386	ii 	1:19.1.7-3+b1
liblmdb0:amd64	ii 	0.9.31-1+b2
liblocale-gettext-perl	ii 	1.07-7+b1
liblouis-data	ii 	3.33.0-1
liblouis20:amd64	ii 	3.33.0-1
liblouisutdml-bin	ii 	2.12.0-7
liblouisutdml-data	ii 	2.12.0-7
liblouisutdml9t64:amd64	ii 	2.12.0-7
liblqr-1-0:amd64	ii 	0.4.2-2.1+b2
liblrdf0:amd64	ii 	0.6.1-4+b2
liblsan0:amd64	ii 	14.2.0-19
liblsof0	ii 	4.99.4+dfsg-2
libltc11:amd64	ii 	1.3.2-1+b2
libltdl7:amd64	ii 	2.5.4-4
liblua5.2-0:amd64	ii 	5.2.4-3+b3
liblua5.3-0:amd64	ii 	5.3.6-2+b4
liblua5.4-0:amd64	ii 	5.4.7-1+b2
liblwp-mediatypes-perl	ii 	6.04-2
liblwp-protocol-https-perl	ii 	6.14-1
liblz4-1:amd64	ii 	1.10.0-4
liblzma5:amd64	ii 	5.8.1-1+deb13u1
liblzma5:i386	ii 	5.8.1-1+deb13u1
liblzo2-2:amd64	ii 	2.10-3+b1
libm17n-0:amd64	ii 	1.8.5-1
libmad0:amd64	ii 	0.15.1b-11+b1
libmagic-mgc	ii 	1:5.46-5
libmagic1t64:amd64	ii 	1:5.46-5
libmagickcore-7.q16-10:amd64	ii 	8:7.1.1.43+dfsg1-1+deb13u11
libmagickcore-7.q16-10-extra:amd64	ii 	8:7.1.1.43+dfsg1-1+deb13u11
libmagickwand-7.q16-10:amd64	ii 	8:7.1.1.43+dfsg1-1+deb13u11
libmailtools-perl	ii 	2.22-1
libmalcontent-0-0:amd64	ii 	0.13.0-2+deb13u1
libmanette-0.2-0:amd64	ii 	0.2.12-1
libmariadb3:amd64	ii 	1:11.8.6-0+deb13u1
libmarisa0:amd64	ii 	0.2.6-19
libmatroska7:amd64	ii 	1.7.1-1+b2
libmaxminddb0:amd64	ii 	1.12.2-1
libmbedcrypto16:amd64	ii 	3.6.5-0.1~deb13u1
libmbim-glib4:amd64	ii 	1.32.0-1
libmbim-proxy	ii 	1.32.0-1
libmbim-utils	ii 	1.32.0-1
libmd0:amd64	ii 	1.1.0-2+b1
libmd0:i386	ii 	1.1.0-2+b1
libmd4c0:amd64	ii 	0.5.2-2+b1
libmediainfo0v5:amd64	ii 	25.04+dfsg-1
libmhash2:amd64	ii 	0.9.9.9-10
libminizip1t64:amd64	ii 	1:1.3.dfsg+really1.3.1-1+b1
libmjpegutils-2.1-0t64:amd64	ii 	1:2.1.0+debian-8.1+b1
libmm-glib0:amd64	ii 	1.24.0-1+deb13u1
libmms0:amd64	ii 	0.6.4-3+b2
libmnl0:amd64	ii 	1.0.5-3
libmodplug1:amd64	ii 	1:0.8.9.0-3+b2
libmount1:amd64	ii 	2.41-5
libmount1:i386	ii 	2.41-5
libmousepad0:amd64	ii 	0.6.3-1
libmp3lame0:amd64	ii 	3.100-6+b3
libmp3lame0:i386	ii 	3.100-6+b3
libmpc3:amd64	ii 	1.3.1-1+b3
libmpcdec6:amd64	ii 	2:0.1~r495-3
libmpeg2-4:amd64	ii 	0.5.1-9+b3
libmpeg2encpp-2.1-0t64:amd64	ii 	1:2.1.0+debian-8.1+b1
libmpfr6:amd64	ii 	4.2.2-1
libmpg123-0t64:amd64	ii 	1.32.10-1+deb13u1
libmpg123-0t64:i386	ii 	1.32.10-1+deb13u1
libmplex2-2.1-0t64:amd64	ii 	1:2.1.0+debian-8.1+b1
libmspub-0.1-1:amd64	ii 	0.1.4-3+b5
libmtdev1t64:amd64	ii 	1.1.7-1
libmtp-common	ii 	1.1.22-1
libmtp-runtime	ii 	1.1.22-1
libmtp9t64:amd64	ii 	1.1.22-1
libmwaw-0.3-3:amd64	ii 	0.3.22-1+b2
libmysofa1:amd64	ii 	1.3.3+dfsg-1
libmythes-1.2-0:amd64	ii 	2:1.2.5-1+b2
libnautilus-extension4:amd64	ii 	48.3-2
libncurses6:amd64	ii 	6.5+20250216-2
libncursesw6:amd64	ii 	6.5+20250216-2
libndp0:amd64	ii 	1.9-1+b1
libneon27t64:amd64	ii 	0.34.2-1
libnet-dbus-perl	ii 	1.2.0-2+b3
libnet-http-perl	ii 	6.23-1
libnet-smtp-ssl-perl	ii 	1.04-2
libnet-ssleay-perl:amd64	ii 	1.94-3
libnetcdf22:amd64	ii 	1:4.9.3-1
libnetfilter-conntrack3:amd64	ii 	1.1.0-1
libnettle8t64:amd64	ii 	3.10.1-1
libnettle8t64:i386	ii 	3.10.1-1
libnewt0.52:amd64	ii 	0.52.25-1
libnfnetlink0:amd64	ii 	1.0.2-3
libnfs14:amd64	ii 	5.0.2-1+b2
libnftables1:amd64	ii 	1.1.3-1
libnftnl11:amd64	ii 	1.2.9-1
libnghttp2-14:amd64	ii 	1.64.0-1.1+deb13u1
libnghttp3-9:amd64	ii 	1.8.0-1
libngtcp2-16:amd64	ii 	1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8:amd64	ii 	1.11.0-1+deb13u1
libnice10:amd64	ii 	0.1.22-1
libnl-3-200:amd64	ii 	3.7.0-2
libnl-genl-3-200:amd64	ii 	3.7.0-2
libnl-route-3-200:amd64	ii 	3.7.0-2
libnm0:amd64	ii 	1.52.1-1
libnm0:i386	ii 	1.52.1-1
libnma-common	ii 	1.10.6-5
libnma0:amd64	ii 	1.10.6-5
libnorm1t64:amd64	ii 	1.5.9+dfsg-3.1+b2
libnotify-bin	ii 	0.8.6-1
libnotify4:amd64	ii 	0.8.6-1
libnova-0.16-0t64:amd64	ii 	0.16-5.1+b1
libnpth0t64:amd64	ii 	1.8-3
libnspr4:amd64	ii 	2:4.36-1
libnss-mdns:amd64	ii 	0.15.1-4+b1
libnss-myhostname:amd64	ii 	257.13-1~deb13u1
libnss3:amd64	ii 	2:3.110-1+deb13u4
libntfs-3g89t64:amd64	ii 	1:2022.10.3-5+deb13u2
libnuma1:amd64	ii 	2.0.19-1
libnuma1:i386	ii 	2.0.19-1
libnumbertext-1.0-0:amd64	ii 	1.0.11-4+b2
libnumbertext-data	ii 	1.0.11-4
libnvme1t64	ii 	1.13-2
libodbc2:amd64	ii 	2.3.12-2
libodbccr2:amd64	ii 	2.3.12-2
libodbcinst2:amd64	ii 	2.3.12-2
libodfgen-0.1-1:amd64	ii 	0.1.8-2+b2
libogdi4.1:amd64	ii 	4.1.1+ds-5
libogg0:amd64	ii 	1.3.5-3+b2
libogg0:i386	ii 	1.3.5-3+b2
libonig5:amd64	ii 	6.9.9-1+b1
libonnx1t64:amd64	ii 	1.17.0-3+b1
libonnxruntime1.21:amd64	ii 	1.21.0+dfsg-1
libopenal-data	ii 	1:1.24.2-1
libopenal1:amd64	ii 	1:1.24.2-1
libopencc-data	ii 	1.1.9+ds1-1+deb13u1
libopencc1.1	ii 	1.1.9+ds1-1+deb13u1
libopencore-amrnb0:amd64	ii 	0.1.6-1+b2
libopencore-amrwb0:amd64	ii 	0.1.6-1+b2
libopencv-core410:amd64	ii 	4.10.0+dfsg-5
libopencv-imgcodecs410:amd64	ii 	4.10.0+dfsg-5
libopencv-imgproc410:amd64	ii 	4.10.0+dfsg-5
libopenexr-3-1-30:amd64	ii 	3.1.13-2
libopengl0:amd64	ii 	1.7.0-1+b2
libopenh264-8:amd64	ii 	2.6.0+dfsg-2
libopenjp2-7:amd64	ii 	2.5.3-2.1~deb13u2
libopenjp2-7:i386	ii 	2.5.3-2.1~deb13u2
libopenmpt-modplug1:amd64	ii 	0.8.9.0-openmpt1-2+b3
libopenmpt0t64:amd64	ii 	0.7.13-1+b1
libopenni2-0:amd64	ii 	2.2.0.33+dfsg-18+b2
libopus0:amd64	ii 	1.5.2-2
libopus0:i386	ii 	1.5.2-2
liborc-0.4-0t64:amd64	ii 	1:0.4.41-1
liborcus-0.18-0:amd64	ii 	0.19.2-6+b1
liborcus-parser-0.18-0:amd64	ii 	0.19.2-6+b1
libostree-1-1:amd64	ii 	2025.2-1
libotf1:amd64	ii 	0.9.16-4+b2
libp11-kit0:amd64	ii 	0.25.5-3
libp11-kit0:i386	ii 	0.25.5-3
libpackagekit-glib2-18:amd64	ii 	1.3.1-1+deb13u1
libpagemaker-0.0-0:amd64	ii 	0.0.4-1+b2
libpam-gnome-keyring:amd64	ii 	48.0-1
libpam-modules:amd64	ii 	1.7.0-5
libpam-modules-bin	ii 	1.7.0-5
libpam-runtime	ii 	1.7.0-5
libpam-systemd:amd64	ii 	257.13-1~deb13u1
libpam0g:amd64	ii 	1.7.0-5
libpango-1.0-0:amd64	ii 	1.56.3-1
libpango-1.0-0:i386	ii 	1.56.3-1
libpangocairo-1.0-0:amd64	ii 	1.56.3-1
libpangocairo-1.0-0:i386	ii 	1.56.3-1
libpangoft2-1.0-0:amd64	ii 	1.56.3-1
libpangoft2-1.0-0:i386	ii 	1.56.3-1
libpangomm-1.4-1v5:amd64	ii 	2.46.4-1+b2
libpangomm-2.48-1t64:amd64	ii 	2.56.1-1
libpangoxft-1.0-0:amd64	ii 	1.56.3-1
libpaper-utils	ii 	2.2.5-0.3+b2
libpaper2:amd64	ii 	2.2.5-0.3+b2
libparted-fs-resize0t64:amd64	ii 	3.6-5
libparted2t64:amd64	ii 	3.6-5
libpcap0.8t64:amd64	ii 	1.10.5-2
libpcaudio0:amd64	ii 	1.3-1
libpci3:amd64	ii 	1:3.13.0-2
libpciaccess0:amd64	ii 	0.17-3+b3
libpciaccess0:i386	ii 	0.17-3+b3
libpcre2-16-0:amd64	ii 	10.46-1~deb13u1
libpcre2-8-0:amd64	ii 	10.46-1~deb13u1
libpcre2-8-0:i386	ii 	10.46-1~deb13u1
libpcsclite1:amd64	ii 	2.3.3-1
libperl5.40:amd64	ii 	5.40.1-6
libpgm-5.3-0t64:amd64	ii 	5.3.128~dfsg-2.1+b1
libpipeline1:amd64	ii 	1.5.8-1
libpipewire-0.3-0t64:amd64	ii 	1.4.2-1
libpipewire-0.3-common	ii 	1.4.2-1
libpixman-1-0:amd64	ii 	0.44.0-3
libpixman-1-0:i386	ii 	0.44.0-3
libplacebo349:amd64	ii 	7.349.0-3
libplist-2.0-4:amd64	ii 	2.6.0-2+b1
libplymouth5:amd64	ii 	24.004.60-5
libpng16-16t64:amd64	ii 	1.6.48-1+deb13u5
libpng16-16t64:i386	ii 	1.6.48-1+deb13u5
libpocketsphinx3:amd64	ii 	0.8+5prealpha+1-15+b4
libpolkit-agent-1-0:amd64	ii 	126-2
libpolkit-gobject-1-0:amd64	ii 	126-2
libpolkit-qt5-1-1:amd64	ii 	0.200.0-4+b1
libpoppler-cpp2:amd64	ii 	25.03.0-5+deb13u4
libpoppler-glib8t64:amd64	ii 	25.03.0-5+deb13u4
libpoppler147:amd64	ii 	25.03.0-5+deb13u4
libpopt0:amd64	ii 	1.19+dfsg-2
libpostproc58:amd64	ii 	7:7.1.5-0+deb13u1
libpq5:amd64	ii 	17.10-0+deb13u1
libpresage-data	ii 	0.9.1-2.6+deb13u1
libpresage1v5:amd64	ii 	0.9.1-2.6+deb13u1
libproc2-0:amd64	ii 	2:4.0.4-9
libproj25:amd64	ii 	9.6.0-1
libprotobuf-c1:amd64	ii 	1.5.1-1
libprotobuf-lite32t64:amd64	ii 	3.21.12-11+deb13u1
libprotobuf32t64:amd64	ii 	3.21.12-11+deb13u1
libproxy-tools	ii 	0.5.9-1
libproxy1v5:amd64	ii 	0.5.9-1
libpsl5t64:amd64	ii 	0.21.2-1.1+b1
libpthreadpool0:amd64	ii 	0.0~git20240616.560c60d-1
libpulse-mainloop-glib0:amd64	ii 	17.0+dfsg1-2+b1
libpulse0:amd64	ii 	17.0+dfsg1-2+b1
libpulse0:i386	ii 	17.0+dfsg1-2+b1
libpulsedsp:amd64	ii 	17.0+dfsg1-2+b1
libpwquality-common	ii 	1.4.5-5
libpwquality1:amd64	ii 	1.4.5-5
libpython3-dev:amd64	ii 	3.13.5-1
libpython3-stdlib:amd64	ii 	3.13.5-1
libpython3.13:amd64	ii 	3.13.5-2+deb13u4
libpython3.13-dev:amd64	ii 	3.13.5-2+deb13u4
libpython3.13-minimal:amd64	ii 	3.13.5-2+deb13u4
libpython3.13-stdlib:amd64	ii 	3.13.5-2+deb13u4
libqhull-r8.0:amd64	ii 	2020.2-6+b2
libqmi-glib5:amd64	ii 	1.36.0-1
libqmi-proxy	ii 	1.36.0-1
libqmi-utils	ii 	1.36.0-1
libqpdf30:amd64	ii 	12.2.0-1
libqrencode4:amd64	ii 	4.1.1-2
libqrtr-glib0:amd64	ii 	1.2.2-1+b2
libqt5core5t64:amd64	ii 	5.15.15+dfsg-6+deb13u1
libqt5dbus5t64:amd64	ii 	5.15.15+dfsg-6+deb13u1
libqt5gui5t64:amd64	ii 	5.15.15+dfsg-6+deb13u1
libqt5network5t64:amd64	ii 	5.15.15+dfsg-6+deb13u1
libqt5positioning5:amd64	ii 	5.15.15+dfsg-3+b1
libqt5printsupport5t64:amd64	ii 	5.15.15+dfsg-6+deb13u1
libqt5qml5:amd64	ii 	5.15.15+dfsg-3
libqt5qmlmodels5:amd64	ii 	5.15.15+dfsg-3
libqt5quick5:amd64	ii 	5.15.15+dfsg-3
libqt5quickwidgets5:amd64	ii 	5.15.15+dfsg-3
libqt5svg5:amd64	ii 	5.15.15-2
libqt5waylandclient5:amd64	ii 	5.15.15-3
libqt5waylandcompositor5:amd64	ii 	5.15.15-3
libqt5webchannel5:amd64	ii 	5.15.15-2
libqt5webengine-data	ii 	5.15.18+dfsg-2
libqt5webenginecore5:amd64	ii 	5.15.18+dfsg-2+b1
libqt5webenginewidgets5:amd64	ii 	5.15.18+dfsg-2+b1
libqt5widgets5t64:amd64	ii 	5.15.15+dfsg-6+deb13u1
libqt5x11extras5:amd64	ii 	5.15.15-2
libqt6core5compat6:amd64	ii 	6.8.2-3+b1
libqt6core6t64:amd64	ii 	6.8.2+dfsg-9+deb13u2
libqt6dbus6:amd64	ii 	6.8.2+dfsg-9+deb13u2
libqt6gui6:amd64	ii 	6.8.2+dfsg-9+deb13u2
libqt6multimedia6:amd64	ii 	6.8.2-8
libqt6network6:amd64	ii 	6.8.2+dfsg-9+deb13u2
libqt6opengl6:amd64	ii 	6.8.2+dfsg-9+deb13u2
libqt6positioning6:amd64	ii 	6.8.2-3
libqt6printsupport6:amd64	ii 	6.8.2+dfsg-9+deb13u2
libqt6qml6:amd64	ii 	6.8.2+dfsg-7
libqt6qmlmeta6:amd64	ii 	6.8.2+dfsg-7
libqt6qmlmodels6:amd64	ii 	6.8.2+dfsg-7
libqt6qmlworkerscript6:amd64	ii 	6.8.2+dfsg-7
libqt6quick6:amd64	ii 	6.8.2+dfsg-7
libqt6quickwidgets6:amd64	ii 	6.8.2+dfsg-7
libqt6svg6:amd64	ii 	6.8.2-3
libqt6waylandclient6:amd64	ii 	6.8.2-4
libqt6waylandcompositor6:amd64	ii 	6.8.2-4
libqt6webchannel6:amd64	ii 	6.8.2-2
libqt6webengine6-data	ii 	6.8.2+dfsg-4
libqt6webenginecore6:amd64	ii 	6.8.2+dfsg-4
libqt6webenginecore6-bin	ii 	6.8.2+dfsg-4
libqt6webenginewidgets6:amd64	ii 	6.8.2+dfsg-4
libqt6widgets6:amd64	ii 	6.8.2+dfsg-9+deb13u2
libqt6wlshellintegration6:amd64	ii 	6.8.2-4
libqt6xml6:amd64	ii 	6.8.2+dfsg-9+deb13u2
libquadmath0:amd64	ii 	14.2.0-19
libqxp-0.0-0	ii 	0.0.2-1+b4
librabbitmq4:amd64	ii 	0.15.0-1+deb13u1
libraptor2-0:amd64	ii 	2.0.16-6
librasqal3t64:amd64	ii 	0.9.33-2.1+b2
librav1e0.7:amd64	ii 	0.7.1-9+b2
librav1e0.7:i386	ii 	0.7.1-9+b2
libraw1394-11:amd64	ii 	2.1.2-2+b2
libraw23t64:amd64	ii 	0.21.4-2
librdf0t64:amd64	ii 	1.0.17-4+b1
libre2-11:amd64	ii 	20240702-3+b1
libreadline8t64:amd64	ii 	8.2-6
librecode3:amd64	ii 	3.7.15-1
libreiserfscore0t64	ii 	1:3.6.27-9
libreoffice-base-core	ii 	4:25.2.3-2+deb13u6
libreoffice-calc	ii 	4:25.2.3-2+deb13u6
libreoffice-common	ii 	4:25.2.3-2+deb13u6
libreoffice-core	ii 	4:25.2.3-2+deb13u6
libreoffice-draw	ii 	4:25.2.3-2+deb13u6
libreoffice-gtk3	ii 	4:25.2.3-2+deb13u6
libreoffice-help-ca	ii 	4:25.2.3-2+deb13u6
libreoffice-help-common	ii 	4:25.2.3-2+deb13u6
libreoffice-help-cs	ii 	4:25.2.3-2+deb13u6
libreoffice-help-da	ii 	4:25.2.3-2+deb13u6
libreoffice-help-de	ii 	4:25.2.3-2+deb13u6
libreoffice-help-dz	ii 	4:25.2.3-2+deb13u6
libreoffice-help-el	ii 	4:25.2.3-2+deb13u6
libreoffice-help-en-gb	ii 	4:25.2.3-2+deb13u6
libreoffice-help-en-us	ii 	4:25.2.3-2+deb13u6
libreoffice-help-es	ii 	4:25.2.3-2+deb13u6
libreoffice-help-et	ii 	4:25.2.3-2+deb13u6
libreoffice-help-eu	ii 	4:25.2.3-2+deb13u6
libreoffice-help-fi	ii 	4:25.2.3-2+deb13u6
libreoffice-help-fr	ii 	4:25.2.3-2+deb13u6
libreoffice-help-gl	ii 	4:25.2.3-2+deb13u6
libreoffice-help-hi	ii 	4:25.2.3-2+deb13u6
libreoffice-help-hu	ii 	4:25.2.3-2+deb13u6
libreoffice-help-it	ii 	4:25.2.3-2+deb13u6
libreoffice-help-ja	ii 	4:25.2.3-2+deb13u6
libreoffice-help-km	ii 	4:25.2.3-2+deb13u6
libreoffice-help-ko	ii 	4:25.2.3-2+deb13u6
libreoffice-help-nl	ii 	4:25.2.3-2+deb13u6
libreoffice-help-pl	ii 	4:25.2.3-2+deb13u6
libreoffice-help-pt	ii 	4:25.2.3-2+deb13u6
libreoffice-help-ru	ii 	4:25.2.3-2+deb13u6
libreoffice-help-sk	ii 	4:25.2.3-2+deb13u6
libreoffice-help-sl	ii 	4:25.2.3-2+deb13u6
libreoffice-help-sv	ii 	4:25.2.3-2+deb13u6
libreoffice-help-zh-cn	ii 	4:25.2.3-2+deb13u6
libreoffice-help-zh-tw	ii 	4:25.2.3-2+deb13u6
libreoffice-impress	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-ar	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-ast	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-be	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-bg	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-bn	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-bs	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-ca	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-cs	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-cy	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-da	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-de	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-dz	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-el	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-en-gb	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-en-za	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-eo	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-es	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-et	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-eu	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-fa	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-fi	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-fr	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-ga	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-gl	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-gu	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-he	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-hi	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-hr	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-hu	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-id	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-is	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-it	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-ja	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-ka	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-km	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-ko	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-lt	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-lv	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-mk	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-ml	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-mr	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-nb	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-ne	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-nl	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-nn	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-pa-in	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-pl	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-pt	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-pt-br	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-ro	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-ru	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-si	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-sk	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-sl	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-sr	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-sv	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-ta	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-te	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-th	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-tr	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-ug	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-uk	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-vi	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-xh	ii 	4:25.2.3-2+deb13u6
libreoffice-l10n-zh-cn	ii 	4:25.2.3-2+deb13u6
